defteam,def_front,play_type,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
DEN,Heavy (7),run,112,-0.12046511,0.36607143,2.9375,0.026785715,0.19642857,0.0,0.0,0.0,
DEN,Stacked (8+),pass,34,-0.22192886,0.38235295,4.4411764,0.05882353,0.29411766,0.17647058823529413,1.0,2.0,4.2222223
DEN,Stacked (8+),run,22,0.10340922,0.4090909,2.3181818,0.09090909,0.4090909,0.0,0.0,0.0,
DEN,,run,1,,,,,,0.0,0.0,0.0,
DET,Light (≤5),pass,112,0.0076676565,0.41964287,7.258929,0.04464286,0.3125,0.125,5.0,5.0,3.983871
DET,Light (≤5),run,16,0.39819872,0.5,6.75,0.0,0.375,0.0,0.0,0.0,
DET,Standard (6),pass,289,-0.09224438,0.39100346,5.297578,0.034602076,0.29065743,0.19377162629757785,4.0,31.0,4.151899
DET,Standard (6),run,105,0.014277076,0.44761905,5.3809524,0.028571429,0.26666668,0.0,0.0,0.0,
DET,Heavy (7),pass,160,0.039602775,0.4,6.4,0.05625,0.33125,0.1625,3.0,10.0,5.356322
DET,Heavy (7),run,241,0.0070417123,0.43983403,4.659751,0.0373444,0.22406639,0.0,0.0,0.0,
DET,Stacked (8+),pass,48,0.32332364,0.625,6.8958335,0.14583333,0.47916666,0.14583333333333334,1.0,3.0,2.857143
DET,Stacked (8+),run,69,-0.23084494,0.2753623,2.463768,0.057971016,0.2173913,0.0,0.0,0.0,
GB,Light (≤5),pass,111,0.11469016,0.4234234,6.288288,0.036036037,0.2972973,0.14414414414414414,2.0,10.0,4.9
GB,Light (≤5),run,8,,,,,,0.0,0.0,0.0,
GB,Standard (6),pass,350,0.03295583,0.44,5.551429,0.034285713,0.30857143,0.18285714285714286,4.0,21.0,4.081818
GB,Standard (6),run,236,-0.041271117,0.44491526,4.165254,0.012711864,0.22457626,0.0,0.0,0.0,
GB,Heavy (7),pass,108,0.23205164,0.49074075,6.101852,0.055555556,0.35185185,0.1388888888888889,0.0,3.0,4.0151515
GB,Heavy (7),run,183,-0.04778447,0.46448088,4.535519,0.010928961,0.26775956,0.0,0.0,0.0,
GB,Stacked (8+),pass,14,-0.36134964,0.21428572,0.14285715,0.14285715,0.21428572,0.2857142857142857,1.0,2.0,1.75
GB,Stacked (8+),run,46,0.21545506,0.5217391,3.4565217,0.2173913,0.45652175,0.0,0.0,0.0,
HOU,Light (≤5),pass,66,-0.45905045,0.24242425,5.681818,0.060606062,0.21212122,0.13636363636363635,3.0,6.0,5.4117646
HOU,Light (≤5),run,5,,,,,,0.0,0.0,0.0,
HOU,Standard (6),pass,355,-0.17246215,0.3887324,5.352113,0.03380282,0.28732395,0.15774647887323945,10.0,28.0,4.8542714
HOU,Standard (6),run,212,-0.04561592,0.3773585,4.1509433,0.023584906,0.16981132,0.0,0.0,0.0,
HOU,Heavy (7),pass,145,-0.16700408,0.37241378,5.2,0.03448276,0.27586207,0.18620689655172415,6.0,13.0,5.464789
HOU,Heavy (7),run,144,-0.005555068,0.44444445,4.3125,0.034722224,0.25694445,0.0,0.0,0.0,
HOU,Stacked (8+),pass,21,0.13344534,0.42857143,3.7619047,0.14285715,0.2857143,0.047619047619047616,0.0,0.0,2.9285715
HOU,Stacked (8+),run,33,-0.33164334,0.33333334,2.1818182,0.09090909,0.27272728,0.0,0.0,0.0,
