defteam,coverage_look,down,pressure_flag,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
CHI,Heavy Blitz (6+),3.0,0,1,,,,,,0.0,0.0,0.0,
CHI,Heavy Blitz (6+),4.0,0,1,,,,,,0.0,0.0,0.0,
CHI,Heavy Blitz (6+),,0,1,,,,,,0.0,0.0,0.0,
CHI,,1.0,0,41,-0.062222566,0.46341464,3.4390244,0.14634146,0.2682927,0.0,0.0,0.0,
CHI,,2.0,0,28,-0.2038017,0.42857143,2.642857,0.10714286,0.2857143,0.0,0.0,0.0,
CHI,,3.0,0,10,0.41336846,0.8,4.2,0.3,0.8,0.0,0.0,0.0,
CIN,Light (≤3),1.0,0,1,,,,,,0.0,0.0,0.0,
CIN,Light (≤3),2.0,0,3,,,,,,0.0,0.0,0.0,
CIN,Light (≤3),3.0,1,1,,,,,,1.0,0.0,0.0,
CIN,Base (4),1.0,0,15,0.11696954,0.4,4.266667,0.06666667,0.2,0.0,0.0,0.0,5.888889
CIN,Base (4),2.0,0,25,0.743665,0.6,6.64,0.32,0.44,0.0,0.0,0.0,10.235294
CIN,Base (4),2.0,1,2,,,,,,1.0,0.0,1.0,
CIN,Base (4),3.0,0,9,,,,,,0.0,0.0,0.0,
CIN,Base (4),3.0,1,5,,,,,,1.0,1.0,2.0,
CIN,Base (4),4.0,0,5,,,,,,0.0,1.0,0.0,
CIN,Base (4),,0,2,,,,,,0.0,0.0,0.0,
CIN,Blitz (5),1.0,0,4,,,,,,0.0,0.0,0.0,
CIN,Blitz (5),2.0,0,4,,,,,,0.0,0.0,0.0,
CIN,Blitz (5),2.0,1,1,,,,,,1.0,0.0,0.0,
CIN,Blitz (5),3.0,0,3,,,,,,0.0,1.0,0.0,
CIN,Blitz (5),3.0,1,4,,,,,,1.0,1.0,1.0,
CIN,Blitz (5),4.0,0,1,,,,,,0.0,0.0,0.0,
CIN,Heavy Blitz (6+),1.0,0,1,,,,,,0.0,0.0,0.0,
CIN,Heavy Blitz (6+),2.0,0,4,,,,,,0.0,0.0,0.0,
CIN,Heavy Blitz (6+),3.0,0,5,,,,,,0.0,0.0,0.0,
CIN,Heavy Blitz (6+),3.0,1,2,,,,,,1.0,0.0,0.0,
CIN,Heavy Blitz (6+),4.0,0,2,,,,,,0.0,0.0,0.0,
CIN,Heavy Blitz (6+),,0,1,,,,,,0.0,0.0,0.0,
CIN,,1.0,0,48,-0.03369634,0.375,3.8333333,0.14583333,0.1875,0.0,0.0,0.0,
CIN,,2.0,0,26,0.14160448,0.46153846,3.7692308,0.115384616,0.34615386,0.0,0.0,0.0,
CIN,,3.0,0,11,-0.66645163,0.27272728,1.6363636,0.09090909,0.27272728,0.0,0.0,0.0,
CIN,,4.0,0,2,,,,,,0.0,0.0,0.0,
CIN,,,0,1,,,,,,0.0,0.0,0.0,
CLE,Base (4),1.0,0,13,-1.3031064,0.46153846,2.5384614,0.23076923,0.23076923,0.0,2.0,0.0,4.8333335
CLE,Base (4),1.0,1,1,,,,,,1.0,0.0,1.0,
CLE,Base (4),2.0,0,15,-0.0060118674,0.26666668,2.6666667,0.2,0.2,0.0,0.0,0.0,1.0
CLE,Base (4),2.0,1,2,,,,,,1.0,0.0,1.0,
CLE,Base (4),3.0,0,11,0.93525654,0.54545456,6.2727275,0.27272728,0.54545456,0.0,0.0,0.0,4.1666665
CLE,Base (4),3.0,1,6,,,,,,1.0,0.0,4.0,
CLE,Base (4),4.0,0,2,,,,,,0.0,0.0,0.0,
CLE,Base (4),,0,1,,,,,,0.0,0.0,0.0,
CLE,Blitz (5),1.0,0,4,,,,,,0.0,0.0,0.0,
CLE,Blitz (5),2.0,0,2,,,,,,0.0,0.0,0.0,
CLE,Blitz (5),3.0,0,6,,,,,,0.0,0.0,0.0,
CLE,Blitz (5),3.0,1,1,,,,,,1.0,0.0,1.0,
CLE,Blitz (5),4.0,0,2,,,,,,0.0,0.0,0.0,
CLE,Blitz (5),,0,1,,,,,,0.0,0.0,0.0,
CLE,Heavy Blitz (6+),2.0,0,4,,,,,,0.0,0.0,0.0,
CLE,Heavy Blitz (6+),3.0,0,4,,,,,,0.0,0.0,0.0,
CLE,,1.0,0,36,-0.24728926,0.2777778,1.7222222,0.083333336,0.083333336,0.0,0.0,0.0,
CLE,,2.0,0,25,-0.091669284,0.4,3.2,0.16,0.32,0.0,0.0,0.0,
CLE,,3.0,0,7,,,,,,0.0,0.0,0.0,
DAL,Light (≤3),1.0,0,2,,,,,,0.0,0.0,0.0,
DAL,Light (≤3),2.0,0,1,,,,,,0.0,0.0,0.0,
DAL,Light (≤3),2.0,1,1,,,,,,1.0,0.0,0.0,
DAL,Light (≤3),3.0,0,2,,,,,,0.0,0.0,0.0,
DAL,Light (≤3),3.0,1,1,,,,,,1.0,0.0,1.0,
DAL,Light (≤3),4.0,0,1,,,,,,0.0,0.0,0.0,
DAL,Base (4),1.0,0,18,0.52537817,0.6111111,5.1666665,0.22222222,0.3888889,0.0,0.0,0.0,3.5
DAL,Base (4),1.0,1,1,,,,,,1.0,0.0,0.0,
DAL,Base (4),2.0,0,18,-0.05247026,0.22222222,3.0,0.11111111,0.16666667,0.0,0.0,0.0,3.375
DAL,Base (4),2.0,1,6,,,,,,1.0,0.0,1.0,
DAL,Base (4),3.0,0,21,0.350974,0.52380955,4.0,0.1904762,0.3809524,0.0,0.0,0.0,4.625
DAL,Base (4),3.0,1,7,,,,,,1.0,0.0,2.0,
DAL,Base (4),4.0,0,4,,,,,,0.0,0.0,0.0,
DAL,Base (4),4.0,1,1,,,,,,1.0,0.0,0.0,
DAL,Blitz (5),1.0,0,3,,,,,,0.0,0.0,0.0,
DAL,Blitz (5),1.0,1,1,,,,,,1.0,0.0,1.0,
DAL,Blitz (5),2.0,0,3,,,,,,0.0,0.0,0.0,
DAL,Blitz (5),3.0,0,2,,,,,,0.0,0.0,0.0,
DAL,Blitz (5),,0,1,,,,,,0.0,0.0,0.0,
DAL,Heavy Blitz (6+),1.0,0,4,,,,,,0.0,0.0,0.0,
DAL,Heavy Blitz (6+),1.0,1,1,,,,,,1.0,0.0,0.0,
DAL,Heavy Blitz (6+),2.0,0,4,,,,,,0.0,0.0,0.0,
DAL,Heavy Blitz (6+),3.0,1,2,,,,,,1.0,0.0,0.0,
