defteam,score_bucket,qtr,plays,epa_allowed,success_rate_allowed,yards_allowed,td_rate,first_down_rate,pressure_rate,interceptions,sacks,yac_allowed
CLE,Up Big,3.0,15,-0.31314754,0.26666668,3.6666667,0.0,0.2,0.13333333333333333,0.0,1.0,6.6666665
CLE,Up Big,4.0,37,-0.42047292,0.4054054,4.3783784,0.027027028,0.27027026,0.21621621621621623,2.0,5.0,5.2
DAL,Down Big,3.0,24,-0.37097123,0.375,4.4166665,0.0,0.20833333,0.20833333333333334,0.0,1.0,8.0
DAL,Down Big,4.0,35,-0.12922145,0.37142858,3.1714287,0.028571429,0.2,0.02857142857142857,0.0,1.0,3.6666667
DAL,Down (7-13),3.0,55,0.3229084,0.6,6.2181816,0.054545455,0.38181818,0.03636363636363636,0.0,0.0,5.4
DAL,Down (7-13),4.0,70,0.1921689,0.45714286,5.857143,0.057142857,0.3,0.1,0.0,3.0,4.45
DAL,Slight Deficit,3.0,37,-0.05224313,0.43243244,5.4864864,0.027027028,0.3243243,0.1891891891891892,0.0,2.0,4.5454545
DAL,Slight Deficit,4.0,27,0.22108565,0.4814815,5.4444447,0.074074075,0.37037036,0.037037037037037035,0.0,0.0,5.6
DAL,Tied,4.0,26,-0.10091542,0.42307693,5.0,0.0,0.30769232,0.07692307692307693,0.0,1.0,5.090909
DAL,Tied,5.0,6,,,,,,0.16666666666666666,1.0,1.0,
DAL,Slight Lead,3.0,53,0.3422388,0.49056605,7.981132,0.056603774,0.33962265,0.11320754716981132,0.0,0.0,9.055555
DAL,Slight Lead,4.0,44,0.73524666,0.59090906,8.25,0.1590909,0.47727272,0.045454545454545456,0.0,0.0,5.1875
DAL,Slight Lead,5.0,12,0.1665357,0.5833333,5.3333335,0.0,0.33333334,0.0,0.0,0.0,2.6666667
DAL,Leading (7-13),3.0,16,-0.16821952,0.375,4.5,0.0,0.3125,0.1875,0.0,2.0,2.5
DAL,Leading (7-13),4.0,18,0.15282959,0.5555556,6.9444447,0.055555556,0.33333334,0.16666666666666666,0.0,1.0,4.1
DAL,Up Big,3.0,45,-0.17102467,0.44444445,6.1555557,0.06666667,0.26666668,0.08888888888888889,1.0,2.0,4.2777777
DAL,Up Big,4.0,44,0.059851136,0.5,5.1136365,0.06818182,0.3181818,0.20454545454545456,0.0,3.0,4.5454545
DEN,Down Big,3.0,12,-0.24848486,0.33333334,3.4166667,0.0,0.16666667,0.16666666666666666,0.0,1.0,10.0
DEN,Down Big,4.0,17,-0.47317448,0.11764706,1.8235294,0.0,0.11764706,0.29411764705882354,0.0,2.0,1.0
DEN,Down (7-13),3.0,32,0.3009568,0.4375,8.0625,0.09375,0.28125,0.125,1.0,2.0,14.6
DEN,Down (7-13),4.0,12,-0.065627776,0.33333334,6.75,0.083333336,0.25,0.08333333333333333,1.0,1.0,13.0
DEN,Slight Deficit,3.0,25,-0.34793174,0.16,3.2,0.04,0.16,0.2,0.0,4.0,2.1666667
